Device Serial:	0001
Lower Bound[V]:	2.6
Upper Bound[V]:	2.7
Charge Current[mA]:	0.5
Discharge Current[mA]:	-0.5
Half Cycles:	2
Samples to Average:	5

Elapsed_Time(s)	Potential(V)	Current(A)	Half-Cycle
1.652680e-01	2.641434e+00	3.995381e-04	1
6.106871e-01	2.647049e+00	5.000288e-04	1
1.059279e+00	2.648993e+00	4.999391e-04	1
1.509613e+00	2.650408e+00	4.999816e-04	1
1.960168e+00	2.651520e+00	5.000217e-04	1
2.409380e+00	2.652487e+00	5.000264e-04	1
2.859352e+00	2.653265e+00	5.000948e-04	1
3.309459e+00	2.654028e+00	5.000500e-04	1
3.760285e+00	2.654657e+00	5.000689e-04	1
4.209515e+00	2.655216e+00	5.001207e-04	1
4.659366e+00	2.655730e+00	5.000382e-04	1
5.109275e+00	2.656214e+00	5.000123e-04	1
5.560099e+00	2.656691e+00	5.000901e-04	1
6.009663e+00	2.657108e+00	5.000500e-04	1
6.459447e+00	2.657497e+00	4.999981e-04	1
6.910553e+00	2.657877e+00	5.000382e-04	1
7.361714e+00	2.658241e+00	5.001255e-04	1
7.811053e+00	2.658600e+00	5.000406e-04	1
8.260874e+00	2.658886e+00	5.000948e-04	1
8.710840e+00	2.659190e+00	5.000854e-04	1
9.161798e+00	2.659469e+00	5.001160e-04	1
9.611113e+00	2.659742e+00	5.001538e-04	1
1.006087e+01	2.660051e+00	5.000571e-04	1
1.051094e+01	2.660272e+00	5.000995e-04	1
1.096177e+01	2.660538e+00	5.000288e-04	1
1.141116e+01	2.660780e+00	5.001160e-04	1
1.186127e+01	2.661031e+00	5.001632e-04	1
1.231088e+01	2.661217e+00	5.000476e-04	1
1.276144e+01	2.661456e+00	5.000358e-04	1
1.321142e+01	2.661673e+00	5.000382e-04	1
1.366103e+01	2.661872e+00	5.000618e-04	1
1.411099e+01	2.662065e+00	5.000641e-04	1
1.456113e+01	2.662256e+00	5.001443e-04	1
1.501186e+01	2.662457e+00	5.000240e-04	1
1.546119e+01	2.662634e+00	5.001113e-04	1
1.591107e+01	2.662809e+00	5.000665e-04	1
1.636115e+01	2.662959e+00	5.000641e-04	1
1.681188e+01	2.663136e+00	5.000665e-04	1
1.726120e+01	2.663333e+00	5.000170e-04	1
1.771108e+01	2.663506e+00	5.001420e-04	1
1.816144e+01	2.663611e+00	5.001325e-04	1
1.861158e+01	2.663831e+00	5.000665e-04	1
1.906131e+01	2.663921e+00	5.000523e-04	1
1.951124e+01	2.664082e+00	5.000547e-04	1
1.996119e+01	2.664280e+00	5.000146e-04	1
2.041189e+01	2.664376e+00	5.001042e-04	1
2.086131e+01	2.664521e+00	4.999887e-04	1
2.131122e+01	2.664667e+00	5.000972e-04	1
2.176126e+01	2.664783e+00	5.000712e-04	1
2.221213e+01	2.664915e+00	5.000123e-04	1
2.266137e+01	2.665063e+00	5.001632e-04	1
2.311125e+01	2.665182e+00	5.000877e-04	1
2.356128e+01	2.665285e+00	5.000217e-04	1
2.401226e+01	2.665437e+00	5.000972e-04	1
2.446149e+01	2.665563e+00	4.999439e-04	1
2.491126e+01	2.665712e+00	5.000547e-04	1
2.536134e+01	2.665816e+00	5.000924e-04	1
2.581231e+01	2.665903e+00	5.000948e-04	1
2.626159e+01	2.666025e+00	5.001585e-04	1
2.671144e+01	2.666135e+00	5.000099e-04	1
2.716153e+01	2.666229e+00	5.001042e-04	1
2.761183e+01	2.666348e+00	5.000830e-04	1
2.806172e+01	2.666456e+00	5.000217e-04	1
2.851183e+01	2.666586e+00	5.000382e-04	1
2.896159e+01	2.666679e+00	5.000924e-04	1
2.941151e+01	2.666782e+00	5.001090e-04	1
2.986246e+01	2.666891e+00	5.000358e-04	1
3.031176e+01	2.667000e+00	5.000264e-04	1
3.076151e+01	2.667070e+00	5.000641e-04	1
3.121166e+01	2.667184e+00	5.000712e-04	1
3.166245e+01	2.667273e+00	5.000523e-04	1
3.211183e+01	2.667365e+00	5.000877e-04	1
3.256164e+01	2.667479e+00	5.000240e-04	1
3.301186e+01	2.667577e+00	5.000759e-04	1
3.346264e+01	2.667677e+00	5.000358e-04	1
3.391168e+01	2.667776e+00	5.001207e-04	1
3.436165e+01	2.667836e+00	5.000783e-04	1
3.481147e+01	2.667945e+00	5.001019e-04	1
3.526249e+01	2.668022e+00	5.000736e-04	1
3.571170e+01	2.668152e+00	5.000594e-04	1
3.616171e+01	2.668195e+00	5.000689e-04	1
3.661164e+01	2.668291e+00	5.000972e-04	1
3.706230e+01	2.668336e+00	5.000972e-04	1
3.751175e+01	2.668427e+00	5.001207e-04	1
3.796172e+01	2.668531e+00	5.000288e-04	1
3.841153e+01	2.668622e+00	5.000288e-04	1
3.886196e+01	2.668702e+00	5.001231e-04	1
3.931175e+01	2.668764e+00	5.000641e-04	1
3.976151e+01	2.668867e+00	5.000429e-04	1
