Device Serial:	0001
Estimated Duration[s]:	310.9626770019536
Start Time:	2022-10-10 13:17:23
Estimated End:	2022-10-10 13:22:34
Lower Bound[V]:	2.6
Upper Bound[V]:	2.7
Start Voltage[V]:	2.689037322998047
Stop Voltage[V]:	2.6
Scan Rate[V/s]:	0.001
Cycles:	1
Samples to Average:	1

Elapsed_Time(s)	Potential(V)	Current(A)	Cycle
2.564563e-01	2.688976e+00	2.519011e-06	0
3.543461e-01	2.689205e+00	1.072586e-05	0
4.440548e-01	2.689220e+00	1.435351e-05	0
5.343955e-01	2.689262e+00	1.679933e-05	0
6.240192e-01	2.689358e+00	2.303720e-05	0
7.134777e-01	2.689476e+00	2.786160e-05	0
8.038653e-01	2.689499e+00	3.012061e-05	0
8.931058e-01	2.689617e+00	3.650784e-05	0
9.839947e-01	2.689659e+00	4.008949e-05	0
1.074376e+00	2.689793e+00	4.297996e-05	0
1.162929e+00	2.689896e+00	4.878342e-05	0
1.253422e+00	2.689953e+00	5.333114e-05	0
1.342490e+00	2.690094e+00	5.977595e-05	0
1.433123e+00	2.690239e+00	6.499994e-05	0
1.524138e+00	2.690254e+00	6.543374e-05	0
1.613229e+00	2.690384e+00	7.160485e-05	0
1.703731e+00	2.690437e+00	7.637024e-05	0
1.793533e+00	2.690514e+00	8.321202e-05	0
1.883113e+00	2.690647e+00	8.495975e-05	0
1.974098e+00	2.690701e+00	8.910728e-05	0
2.062571e+00	2.690788e+00	9.301901e-05	0
2.154111e+00	2.690899e+00	1.002263e-04	0
2.243289e+00	2.690929e+00	1.008990e-04	0
2.332968e+00	2.691120e+00	1.072966e-04	0
2.423921e+00	2.691162e+00	1.102601e-04	0
2.512917e+00	2.691307e+00	1.151695e-04	0
2.603586e+00	2.691292e+00	1.189160e-04	0
2.692291e+00	2.691498e+00	1.235673e-04	0
2.782627e+00	2.691532e+00	1.261663e-04	0
2.874609e+00	2.691605e+00	1.298090e-04	0
2.963324e+00	2.691700e+00	1.324489e-04	0
3.053745e+00	2.691849e+00	1.396955e-04	0
3.143230e+00	2.691856e+00	1.421854e-04	0
3.233077e+00	2.691940e+00	1.468682e-04	0
3.324089e+00	2.692074e+00	1.497548e-04	0
3.412555e+00	2.692165e+00	1.549886e-04	0
3.503682e+00	2.692291e+00	1.566967e-04	0
3.593905e+00	2.692295e+00	1.598386e-04	0
3.682766e+00	2.692410e+00	1.676565e-04	0
3.773988e+00	2.692505e+00	1.704720e-04	0
3.864327e+00	2.692520e+00	1.705734e-04	0
3.954524e+00	2.692764e+00	1.772132e-04	0
4.042321e+00	2.692802e+00	1.816252e-04	0
4.132561e+00	2.692966e+00	1.880832e-04	0
4.224079e+00	2.693043e+00	1.944032e-04	0
4.313741e+00	2.693096e+00	1.954883e-04	0
4.403625e+00	2.693157e+00	1.992030e-04	0
4.493157e+00	2.693283e+00	2.027010e-04	0
4.583350e+00	2.693356e+00	2.042720e-04	0
4.674567e+00	2.693436e+00	2.094543e-04	0
4.763143e+00	2.693573e+00	2.167585e-04	0
4.854191e+00	2.693638e+00	2.146080e-04	0
4.942632e+00	2.693745e+00	2.211200e-04	0
5.033627e+00	2.693714e+00	2.233948e-04	0
5.297178e+00	2.694103e+00	2.350411e-04	0
5.393784e+00	2.694084e+00	2.344515e-04	0
5.481261e+00	2.694271e+00	2.425177e-04	0
5.573441e+00	2.694389e+00	2.486971e-04	0
5.663093e+00	2.694416e+00	2.499825e-04	0
5.753810e+00	2.694508e+00	2.535675e-04	0
5.844267e+00	2.694607e+00	2.587210e-04	0
5.933326e+00	2.694748e+00	2.646527e-04	0
6.024122e+00	2.694771e+00	2.667518e-04	0
6.113865e+00	2.694859e+00	2.701717e-04	0
6.203844e+00	2.695034e+00	2.740515e-04	0
6.293423e+00	2.695015e+00	2.752780e-04	0
6.382834e+00	2.695126e+00	2.771058e-04	0
6.475073e+00	2.695229e+00	2.807734e-04	0
6.563475e+00	2.695259e+00	2.868349e-04	0
6.654145e+00	2.695415e+00	2.884623e-04	0
6.743262e+00	2.695515e+00	2.949954e-04	0
6.835554e+00	2.695599e+00	2.951134e-04	0
6.923205e+00	2.695694e+00	3.008564e-04	0
7.013508e+00	2.695850e+00	3.050900e-04	0
7.104104e+00	2.695808e+00	3.052787e-04	0
7.195001e+00	2.695942e+00	3.108213e-04	0
7.283411e+00	2.696091e+00	3.154205e-04	0
7.374472e+00	2.696102e+00	3.169181e-04	0
7.463674e+00	2.696289e+00	3.244655e-04	0
7.558030e+00	2.696335e+00	3.265292e-04	0
7.643100e+00	2.696377e+00	3.283807e-04	0
7.732698e+00	2.696468e+00	3.311520e-04	0
7.824137e+00	2.696678e+00	3.376852e-04	0
7.918220e+00	2.696678e+00	3.383809e-04	0
8.001759e+00	2.696758e+00	3.418716e-04	0
8.093741e+00	2.696884e+00	3.444896e-04	0
8.183034e+00	2.696980e+00	3.479566e-04	0
8.278367e+00	2.696980e+00	3.530747e-04	0
8.363001e+00	2.697151e+00	3.579687e-04	0
8.453948e+00	2.697224e+00	3.620843e-04	0
8.543810e+00	2.697311e+00	3.614240e-04	0
8.636492e+00	2.697392e+00	3.674500e-04	0
8.724068e+00	2.697495e+00	3.695609e-04	0
8.813709e+00	2.697582e+00	3.740658e-04	0
8.903860e+00	2.697659e+00	3.759644e-04	0
8.997321e+00	2.697765e+00	3.813419e-04	0
9.083281e+00	2.697849e+00	3.831226e-04	0
9.174155e+00	2.697929e+00	3.880873e-04	0
9.262945e+00	2.698029e+00	3.892077e-04	0
9.358503e+00	2.698177e+00	3.941960e-04	0
9.443435e+00	2.698284e+00	3.990428e-04	0
9.533127e+00	2.698311e+00	4.013188e-04	0
9.623897e+00	2.698399e+00	4.043142e-04	0
9.717289e+00	2.698479e+00	4.065430e-04	0
9.803829e+00	2.698647e+00	4.117318e-04	0
9.893742e+00	2.698753e+00	4.155998e-04	0
9.983294e+00	2.698730e+00	4.172390e-04	0
1.007660e+01	2.698818e+00	4.192909e-04	0
1.016344e+01	2.698975e+00	4.263666e-04	0
1.025349e+01	2.699078e+00	4.277345e-04	0
1.034342e+01	2.699150e+00	4.301521e-04	0
1.043769e+01	2.699131e+00	4.346569e-04	0
1.052375e+01	2.699268e+00	4.369683e-04	0
1.061361e+01	2.699402e+00	4.427349e-04	0
1.070386e+01	2.699451e+00	4.431241e-04	0
1.079535e+01	2.699505e+00	4.445510e-04	0
1.088433e+01	2.699703e+00	4.499639e-04	0
1.097406e+01	2.699654e+00	4.495157e-04	1
1.106026e+01	2.699688e+00	4.461666e-04	1
1.115427e+01	2.699574e+00	4.346923e-04	1
1.124171e+01	2.699413e+00	4.282298e-04	1
1.133271e+01	2.699337e+00	4.218028e-04	1
1.142182e+01	2.699268e+00	4.165668e-04	1
1.151469e+01	2.699169e+00	4.110478e-04	1
1.160212e+01	2.699024e+00	4.014957e-04	1
1.169215e+01	2.698929e+00	3.965309e-04	1
1.178262e+01	2.698895e+00	3.931582e-04	1
1.187499e+01	2.698841e+00	3.862948e-04	1
1.196258e+01	2.698730e+00	3.826391e-04	1
1.205228e+01	2.698624e+00	3.738653e-04	1
1.214148e+01	2.698524e+00	3.686293e-04	1
1.223440e+01	2.698460e+00	3.645844e-04	1
1.241968e+01	2.698425e+00	3.655514e-04	1
1.248852e+01	2.698112e+00	3.475793e-04	1
1.256698e+01	2.698074e+00	3.459990e-04	1
1.265738e+01	2.698074e+00	3.406333e-04	1
1.274626e+01	2.698009e+00	3.355861e-04	1
1.283740e+01	2.697815e+00	3.296543e-04	1
1.292623e+01	2.697784e+00	3.268358e-04	1
1.303658e+01	2.697674e+00	3.198545e-04	1
1.314891e+01	2.697544e+00	3.115407e-04	1
1.323571e+01	2.697483e+00	3.079439e-04	1
1.332946e+01	2.697300e+00	3.012456e-04	1
1.341565e+01	2.697300e+00	2.981559e-04	1
1.350521e+01	2.697147e+00	2.926251e-04	1
1.359548e+01	2.697060e+00	2.896533e-04	1
1.368840e+01	2.696987e+00	2.841933e-04	1
1.377625e+01	2.696922e+00	2.797120e-04	1
1.386632e+01	2.696888e+00	2.768110e-04	1
1.395632e+01	2.696720e+00	2.715161e-04	1
1.404912e+01	2.696590e+00	2.634734e-04	1
1.413639e+01	2.696507e+00	2.584969e-04	1
1.422581e+01	2.696415e+00	2.557020e-04	1
1.431625e+01	2.696308e+00	2.517868e-04	1
1.440795e+01	2.696304e+00	2.466216e-04	1
1.449589e+01	2.696194e+00	2.410790e-04	1
1.458623e+01	2.696106e+00	2.394870e-04	1
1.467674e+01	2.696011e+00	2.361143e-04	1
1.476959e+01	2.696007e+00	2.310198e-04	1
1.485583e+01	2.695835e+00	2.246517e-04	1
1.494560e+01	2.695698e+00	2.187318e-04	1
1.503570e+01	2.695564e+00	2.131420e-04	1
1.512478e+01	2.695560e+00	2.115146e-04	1
1.521544e+01	2.695480e+00	2.071395e-04	1
1.530588e+01	2.695381e+00	2.050758e-04	1
1.539604e+01	2.695370e+00	2.011252e-04	1
1.548604e+01	2.695168e+00	1.947807e-04	1
1.557597e+01	2.695107e+00	1.910660e-04	1
1.566599e+01	2.695007e+00	1.856178e-04	1
1.575579e+01	2.694946e+00	1.803818e-04	1
1.584496e+01	2.694889e+00	1.780468e-04	1
1.593599e+01	2.694740e+00	1.719736e-04	1
1.620167e+01	2.694542e+00	1.628773e-04	1
1.631235e+01	2.694477e+00	1.593416e-04	1
1.640165e+01	2.694305e+00	1.549398e-04	1
1.649104e+01	2.694214e+00	1.467263e-04	1
1.658038e+01	2.694096e+00	1.440836e-04	1
1.667168e+01	2.694099e+00	1.414101e-04	1
1.676087e+01	2.693897e+00	1.355746e-04	1
1.685045e+01	2.693829e+00	1.318601e-04	1
1.694065e+01	2.693707e+00	1.261294e-04	1
1.703128e+01	2.693630e+00	1.225473e-04	1
1.712160e+01	2.693600e+00	1.189896e-04	1
1.721163e+01	2.693478e+00	1.164858e-04	1
1.730198e+01	2.693405e+00	1.116027e-04	1
1.739182e+01	2.693333e+00	1.074017e-04	1
1.748186e+01	2.693245e+00	1.033561e-04	1
1.757111e+01	2.693161e+00	1.014992e-04	1
1.766050e+01	2.693027e+00	9.604454e-05	1
1.775225e+01	2.693001e+00	9.265757e-05	1
1.784179e+01	2.692936e+00	8.985186e-05	1
1.793144e+01	2.692738e+00	8.333743e-05	1
1.802146e+01	2.692608e+00	7.780182e-05	1
1.811167e+01	2.692612e+00	7.399106e-05	1
1.820190e+01	2.692532e+00	7.109106e-05	1
1.829191e+01	2.692410e+00	6.656826e-05	1
1.838104e+01	2.692268e+00	6.244624e-05	1
1.847186e+01	2.692177e+00	5.852604e-05	1
1.856123e+01	2.692101e+00	5.587435e-05	1
1.865161e+01	2.692013e+00	5.193806e-05	1
1.874141e+01	2.691887e+00	4.562616e-05	1
1.883208e+01	2.691833e+00	4.258084e-05	1
1.892166e+01	2.691780e+00	4.121435e-05	1
1.901118e+01	2.691696e+00	3.616643e-05	1
1.910068e+01	2.691624e+00	3.418958e-05	1
1.919185e+01	2.691521e+00	3.093958e-05	1
1.928153e+01	2.691475e+00	2.895761e-05	1
1.937205e+01	2.691288e+00	2.012372e-05	1
1.946186e+01	2.691200e+00	1.870120e-05	1
1.955228e+01	2.691166e+00	1.569068e-05	1
1.964183e+01	2.691113e+00	1.186168e-05	1
1.973209e+01	2.690922e+00	6.700635e-06	1
1.982219e+01	2.690807e+00	3.932834e-06	1
1.991173e+01	2.690712e+00	-1.030564e-06	1
2.000224e+01	2.690727e+00	-4.030108e-06	1
2.009266e+01	2.690575e+00	-9.136796e-06	1
2.018241e+01	2.690414e+00	-1.246870e-05	1
2.027436e+01	2.690376e+00	-1.792169e-05	1
2.036244e+01	2.690289e+00	-1.982963e-05	1
2.045282e+01	2.690189e+00	-2.607000e-05	1
2.054324e+01	2.690159e+00	-2.873063e-05	1
2.063270e+01	2.690022e+00	-3.188908e-05	1
2.072381e+01	2.689972e+00	-3.196597e-05	1
2.081190e+01	2.689884e+00	-3.572607e-05	1
2.090652e+01	2.689751e+00	-4.049563e-05	1
2.099311e+01	2.689732e+00	-4.153550e-05	1
2.108242e+01	2.689621e+00	-4.668808e-05	1
2.117367e+01	2.689484e+00	-5.292916e-05	1
2.126648e+01	2.689472e+00	-5.613756e-05	1
2.135394e+01	2.689419e+00	-5.650771e-05	1
2.144241e+01	2.689243e+00	-6.223822e-05	1
2.153159e+01	2.689209e+00	-6.594348e-05	1
2.162560e+01	2.689083e+00	-6.867373e-05	1
2.171310e+01	2.688965e+00	-7.376993e-05	1
2.180397e+01	2.688877e+00	-7.780123e-05	1
2.189375e+01	2.688759e+00	-8.105600e-05	1
2.198626e+01	2.688671e+00	-8.615541e-05	1
2.207485e+01	2.688705e+00	-8.571136e-05	1
2.216061e+01	2.688492e+00	-9.402025e-05	1
2.225346e+01	2.688450e+00	-9.548235e-05	1
2.234672e+01	2.688332e+00	-9.915340e-05	1
2.243419e+01	2.688282e+00	-9.994876e-05	1
2.252418e+01	2.688171e+00	-1.041399e-04	1
2.261289e+01	2.688049e+00	-1.084288e-04	1
2.270873e+01	2.687996e+00	-1.131366e-04	1
2.279383e+01	2.687912e+00	-1.149542e-04	1
2.288337e+01	2.687866e+00	-1.192030e-04	1
2.297399e+01	2.687698e+00	-1.237390e-04	1
2.306683e+01	2.687630e+00	-1.247809e-04	1
2.315516e+01	2.687599e+00	-1.292434e-04	1
2.324322e+01	2.687382e+00	-1.332132e-04	1
2.333363e+01	2.687378e+00	-1.363614e-04	1
2.342787e+01	2.687267e+00	-1.407962e-04	1
2.351359e+01	2.687199e+00	-1.436046e-04	1
2.360392e+01	2.687130e+00	-1.466715e-04	1
2.369390e+01	2.686962e+00	-1.514723e-04	1
2.378670e+01	2.686974e+00	-1.532190e-04	1
2.387404e+01	2.686836e+00	-1.573601e-04	1
2.396348e+01	2.686676e+00	-1.621981e-04	1
2.405385e+01	2.686600e+00	-1.651784e-04	1
2.414309e+01	2.686451e+00	-1.708027e-04	1
2.423451e+01	2.686440e+00	-1.708485e-04	1
2.432288e+01	2.686340e+00	-1.742880e-04	1
2.441290e+01	2.686291e+00	-1.759158e-04	1
2.450231e+01	2.686211e+00	-1.798363e-04	1
2.459405e+01	2.686092e+00	-1.833930e-04	1
2.468246e+01	2.685947e+00	-1.884285e-04	1
2.477449e+01	2.685947e+00	-1.899668e-04	1
2.486191e+01	2.685837e+00	-1.957560e-04	1
2.495416e+01	2.685741e+00	-1.984884e-04	1
2.504385e+01	2.685612e+00	-2.030816e-04	1
2.513246e+01	2.685555e+00	-2.051646e-04	1
2.522408e+01	2.685532e+00	-2.078153e-04	1
2.531394e+01	2.685417e+00	-2.108587e-04	1
2.540431e+01	2.685314e+00	-2.135816e-04	1
2.549317e+01	2.685226e+00	-2.165898e-04	1
2.558384e+01	2.685089e+00	-2.214643e-04	1
2.584504e+01	2.684795e+00	-2.327769e-04	1
2.594326e+01	2.684769e+00	-2.339680e-04	1
2.603353e+01	2.684673e+00	-2.367039e-04	1
2.612470e+01	2.684525e+00	-2.415154e-04	1
2.621270e+01	2.684460e+00	-2.423762e-04	1
2.630406e+01	2.684395e+00	-2.480249e-04	1
2.639418e+01	2.684345e+00	-2.509849e-04	1
2.648342e+01	2.684238e+00	-2.530958e-04	1
2.657482e+01	2.684139e+00	-2.596644e-04	1
2.666341e+01	2.684055e+00	-2.597587e-04	1
2.675423e+01	2.683815e+00	-2.654074e-04	1
2.684381e+01	2.683880e+00	-2.690160e-04	1
2.693325e+01	2.683796e+00	-2.703840e-04	1
2.702445e+01	2.683605e+00	-2.749832e-04	1
2.711348e+01	2.683529e+00	-2.778134e-04	1
2.720413e+01	2.683529e+00	-2.796177e-04	1
2.729340e+01	2.683388e+00	-2.852075e-04	1
2.738450e+01	2.683323e+00	-2.864811e-04	1
2.747511e+01	2.683235e+00	-2.902076e-04	1
2.756352e+01	2.683121e+00	-2.942053e-04	1
2.765404e+01	2.683052e+00	-2.950190e-04	1
2.774349e+01	2.682938e+00	-3.019178e-04	1
2.783349e+01	2.682911e+00	-3.026371e-04	1
2.792520e+01	2.682858e+00	-3.041938e-04	1
2.801373e+01	2.682671e+00	-3.078024e-04	1
2.810429e+01	2.682667e+00	-3.104321e-04	1
2.819432e+01	2.682583e+00	-3.126963e-04	1
2.828262e+01	2.682442e+00	-3.179441e-04	1
2.837505e+01	2.682377e+00	-3.178498e-04	1
2.846150e+01	2.682274e+00	-3.237108e-04	1
2.855452e+01	2.682064e+00	-3.313760e-04	1
2.864335e+01	2.682022e+00	-3.316355e-04	1
2.873368e+01	2.682026e+00	-3.342653e-04	1
2.882387e+01	2.681911e+00	-3.390767e-04	1
2.891450e+01	2.681816e+00	-3.407631e-04	1
2.900416e+01	2.681683e+00	-3.452207e-04	1
2.909363e+01	2.681625e+00	-3.467184e-04	1
